id,status,needs_review,review_reasons,title,location,postcode,price_eur,rent_period,double_beds,url,thumbnail_url,first_seen,last_seen
rentie-6571309,active,False,,"Ranelagh Road, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1450,month,1,https://www.rent.ie/rooms-to-rent/Ranelagh-Roaddublin-6-Ranelagh-Dublin-6/6571309,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00
daft-6542726,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;double_bed_not_confirmed,"172 Benmadigan Road, Drimnagh, Dublin 12","Drimnagh, Dublin 12",Dublin 12,1475,month,,https://www.daft.ie/for-rent/172-benmadigan-road-drimnagh-dublin-12/6542726,,2026-07-09,2026-07-09
daft-6604547,active,True,double_bed_count_not_visible_in_email;single_bedroom_metadata;double_bed_not_confirmed,"Flat 6, 238 North Circular Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1475,month,,https://www.daft.ie/for-rent/flat-6-238-north-circular-road-north-circular-road-dublin-7/6604547,,2026-07-09,2026-07-09
daft-6614532,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;studio_or_single_bed_metadata;double_bed_not_confirmed,"9 Orwell Road, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1490,month,,https://www.daft.ie/for-rent/9-orwell-road-rathgar-dublin-6/6614532,,2026-07-09,2026-07-09
daft-6617074,active,True,double_bed_count_not_visible_in_email;studio_or_single_bed_metadata;single_bedroom_metadata;double_bed_not_confirmed,"North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1495,month,,https://www.daft.ie/for-rent/north-circular-road-dublin-7/6617074,,2026-07-09,2026-07-09
daft-6577262,active,False,,"Echlin Buildings, Echlin Street, Dublin 8","Echlin Street, Dublin 8",Dublin 8,1500,month,1,https://www.daft.ie/for-rent/echlin-buildings-echlin-street-dublin-8/6577262,,2026-07-09,2026-07-09
daft-6614332,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;double_bed_not_confirmed,"Apartment 1, 55 Rathmines Road Upper, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1500,month,,https://www.daft.ie/for-rent/apartment-1-55-rathmines-road-upper-rathgar-dublin-6/6614332,,2026-07-09,2026-07-09
daft-6614424,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;double_bed_not_confirmed,"Flat 2, 53 Belgrave Square North, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,month,,https://www.daft.ie/for-rent/flat-2-53-belgrave-square-north-rathmines-dublin-6/6614424,,2026-07-09,2026-07-09
daft-6614454,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;double_bed_not_confirmed,"Flat 3, 53 Belgrave Square North, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,month,,https://www.daft.ie/for-rent/flat-3-53-belgrave-square-north-rathmines-dublin-6/6614454,,2026-07-09,2026-07-09
daft-6616744,active,True,double_bed_count_not_visible_in_email;detail_unavailable_cache_miss;price_assumed_within_uploaded_base_filter;double_bed_not_confirmed,"Portobello Dock, Portobello, Dublin 8","Portobello Dock, Portobello, Dublin 8",Dublin 8,1500,month,,https://www.daft.ie/for-rent/portobello-dock-portobello-dublin-8/6616744,,2026-07-09,2026-07-09
