id,status,needs_review,review_reasons,title,location,postcode,price_eur,double_beds,url,thumbnail_url,first_seen,last_seen
daft-6617121,active,True,double_bed_count_not_visible_in_email,"Richmond Hill, Dublin 6, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,https://www.daft.ie/for-rent/richmond-hill-dublin-6-rathmines-dublin-6/6617121,,2026-07-09,2026-07-09
daft-6613255,active,False,,"Ranelagh Road, Dublin 6, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1500,1,https://www.daft.ie/for-rent/ranelagh-road-dublin-6-ranelagh-dublin-6/6613255,,2026-07-09,2026-07-09
daft-6612884,active,False,,"Apartment 6, 55 Rathmines Road Upper, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,1,https://www.daft.ie/for-rent/apartment-6-55-rathmines-road-upper-rathmines-dublin-6/6612884,,2026-07-09,2026-07-09
daft-6605369,active,True,double_bed_count_not_visible_in_email,"40 Leinster Road, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,https://www.daft.ie/for-rent/40-leinster-road-rathmines-rathmines-dublin-6/6605369,,2026-07-09,2026-07-09
daft-6595545,active,True,double_bed_count_not_visible_in_email,"Flat 6, 2 Maxwell Road, Dublin 6, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1500,,https://www.daft.ie/for-rent/flat-6-2-maxwell-road-dublin-6-rathgar-dublin-6/6595545,,2026-07-09,2026-07-09
daft-6589180,active,False,,"Elm Mount, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,1500,1,https://www.daft.ie/for-rent/elm-mount-beaumont-dublin-9/6589180,,2026-07-09,2026-07-09
daft-6582987,active,True,double_bed_count_not_visible_in_email,"Flat 3, 37 Leeson Street Upper, Ballsbridge, Dublin 4","Ballsbridge, Dublin 4",Dublin 4,1500,,https://www.daft.ie/for-rent/flat-3-37-leeson-street-upper-ballsbridge-dublin-4/6582987,,2026-07-09,2026-07-09
daft-6551651,active,False,,"Crumlin Road, Dublin 12 [double room]","Crumlin Road, Dublin 12",Dublin 12,1500,1,https://www.daft.ie/for-rent/crumlin-road-dublin-12-double-room-/6551651,,2026-07-09,2026-07-09
daft-2626696,active,True,double_bed_count_not_visible_in_email,"Hazelwood Student Village, North Wood, Santry, Dublin 9","Santry, Dublin 9",Dublin 9,1500,,https://www.daft.ie/for-rent/hazelwood-student-village-north-wood-santry-santry-co-dublin/2626696,,2026-07-09,2026-07-09
daft-6529240,active,True,current_detail_price_above_filter,"Flat 9, 102 North Circular Road, Stoneybatter, Dublin 7","Stoneybatter, Dublin 7",Dublin 7,1700,1,https://www.daft.ie/for-rent/flat-9-102-north-circular-road-stoneybatter-dublin-7/6529240,,2026-07-09,2026-07-09
